ID_BAT,CODE_COM,NOM_COM,NOM_EPCI,NOM_BATI,ADRESSE,X,Y,SURFACE,RENOVATION,TYPE,ANNEE,Consommation en électricité,Consommation en gaz naturel,Consommation en gaz citerne,Consommation en fioul,Consommation en chaleur,Consommation en bois,Consommation en ENR,Dépense en électricité,Dépense en gaz naturel,Dépense en gaz citerne,Dépense en fioul,Dépense en chaleur,Dépense en bois,Dépense en ENR
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2017,60361,178769,,,,,,9891,9483,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2018,51545,158006,,,,,,8453,8816,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2019,45089,115565,,,,,,7600,7474,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2020,26803,175072,,,,,,5745,9871,,,,,
4,35001,Acigné,Rennes Métropole,Salle de sports de la lande Guérin,Rue des Verdaudais,-1.5336303630854378,48.13982400963904,3250,Non,Sportif,2021,25977,104591,,,,,,5403,7568,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2006,,,,,,,,,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2007,,,,,,,,,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2008,,,,,,,,,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2009,,,,,,,,,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2010,61661,,,,,,,10352,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2011,86388,,,,,,,15958,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2012,102638,,,,,,,18148,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2013,118655,,,,,,,21056,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2014,111650,,,,,,,20382,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2015,105451,,,,,,,19070,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2016,119241,,,,,,,18604,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2017,112649,,,,,,,18007,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2018,135997,,,,,,,21554,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2019,130359,,,,,,,21414,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2020,101763,,,,,,,20017,,,,,,
5,35001,Acigné,Rennes Métropole,Le Triptik,6 Rue du Triptik,-1.5330858849292897,48.14193784546948,1700,Oui,Administratif,2021,130302,,,,,,,24888,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2006,35007,,,,,,,4132,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2007,29118,,,,,,,3665,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2008,28983,,,,,,,3681,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2009,32464,,,,,,,3913,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2010,44590,,,,,,,4778,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2011,30567,,,,,,,3726,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2012,33712,,,,,,,4399,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2013,40565,,,,,,,5456,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2014,30867,,,,,,,4603,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2015,33136,,,,,,,5112,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2016,35928,,,,,,,5366,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2017,31894,,,,,,,4825,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2018,30269,,,,,,,4670,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2019,28926,,,,,,,4562,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2020,27406,,,,,,,4520,,,,,,
6,35001,Acigné,Rennes Métropole,Ecole de musique,12 Rue de Calais,-1.5347050192702687,48.13254028946765,475,Oui,Scolaire,2021,27778,,,,,,,4683,,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2006,59496,150970,,,,,,7556,7013,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2007,57779,209006,,,,,,7480,8104,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2008,49302,120643,,,,,,6570,6003,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2009,53128,116079,,,,,,7533,7135,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2010,48574,100317,,,,,,7604,5774,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2011,43122,94263,,,,,,7834,5601,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2012,49738,81092,,,,,,8428,5224,,,,,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2013,65710,116159,,,,17271,,10479,9197,,,,1184,
