ID_BAT;CODE_INSEE;CODE_POSTALE;NOM_COM;NOM_BATI;ADRESSE;X;Y;SURFACE;RENOVATION;TYPE
3512103;35121;35140;GOSNE;VESTIAIRES FOOT;RUE DU STADE;48.24830939200745; -1.459794501433784;300;Bâtiment < 20 ans ;Sportif 
3512104;35121;35140;GOSNE;MAIRIE ET BIBLIOTHEQUE;PLACE DU CALVAIRE;48.246885160923064; -1.4661998017282458;817;Bâtiment rénové;Administratif 
3512105;35121;35140;GOSNE;MAISON DES SERVICES;6 RUE BUISSONIERE;48.24738067496993; -1.4641869549766793;340;Bâtiment < 20 ans ;Médico-social 
3512106;35121;35140;GOSNE;LOCAL TECHNIQUE;RUE DU STADE;48.24818553564709; -1.4583652457688425;260;Bâtiment à rénover ;Technique
3512107;35121;35140;GOSNE;ANCIENNE ECOLE PUBLIQUE;5 RUE DE L'ILLET;48.2465390805; -1.466574296916746;406;Bâtiment à rénover ;Socio-culturel 
3512108;35121;35140;GOSNE;ESPACE JEUNES;ALLEE DES CHÊNES;48.24639981150029; -1.4661487138374132;60;Bâtiment à rénover ;Socio-culturel 
3512109;35121;35140;GOSNE;SALLE DES FÊTES;13 RUE DE LA FUTAIE;48.247776035902675; -1.4673735750497245;484;Bâtiment à rénover ;Socio-culturel 
3512801;35128;35440;GUIPEL;Ecole;16 Rue de la Liberté;48.298526870886555; -1.7228810650358568;1335;Bâtiment à rénover ;Scolaire – enfance 
3512802;35128;35440;GUIPEL;Salle André Michel;rue du stade;48.29977520145612; -1.716671719728571;360;Bâtiment rénové;Socio-culturel 
3512803;35128;35440;GUIPEL;Salle de Sport/Loisirs;rue du stade;48.30146180352526; -1.7164612256632437;1330;Bâtiment à rénover ;Socio-culturel 
3512804;35128;35440;GUIPEL;Les Pontènes;1 rue des Pontènes, 35440 Guipel;48.29761811499811; -1.723309388519146;828;Bâtiment < 20 ans ;Scolaire – enfance 
3512805;35128;35440;GUIPEL;Mairie;40 Rue de la Liberté, 35440 Guipel;48.29857650923659; -1.724581072101246;163;Bâtiment à rénover ;Administratif 
3503101;35031;35340;LA BOUEXIERE;MAIRIE;5 RUE THEOPHILE REMOND;48.184087281066645; -1.4374477927825218;1360;Bâtiment rénové;Administratif 
3503102;35031;35340;LA BOUEXIERE;RESTAURANT MUNICIPAL;1 RUE DES GENÊTS;48.18225649818999; -1.4376519965177066;380;Bâtiment < 20 ans ;Restauration 
3503103;35031;35340;LA BOUEXIERE;GROUPE SCOLAIRE;10 RUE DES COLES;48.18195221300417; -1.4362697830749176;2300;Bâtiment à rénover ;Scolaire – enfance 
3503104;35031;35340;LA BOUEXIERE;COMPLEXE ASSOCIATIF ET CULTUREL;20 RUE JEAN MARIE PAVY;48.18491081850825; -1.4397566691299386;2120;Bâtiment rénové;Socio-culturel 
3503105;35031;35340;LA BOUEXIERE;SALLE POLYVALENTE GYM;19 RUE DE LA DOBIAIS;48.178779270821266; -1.432163223142149;2920;Bâtiment à rénover ;Socio-culturel 
3503106;35031;35340;LA BOUEXIERE;MAIRIE ATELIER RELAIS;ZA DE BELLEVUE;48.173958668960445; -1.435464422155387;560;Bâtiment à rénover ;Autre 
3503107;35031;35340;LA BOUEXIERE;PARC DES SPORTS;1 RUE DU STADE;48.18053494173464; -1.433686076931876;377;;Sportif 
3503108;35031;35340;LA BOUEXIERE;ATELIERS MUNICIPAUX;10 RUE DES TANNEURS;48.17117001079506; -1.4332620579364548;430;Bâtiment < 20 ans ;Technique
3503109;35031;35340;LA BOUEXIERE;SALLE ASSOCIATIVE LA GENDRINIERE;24 RUE JEAN MARIE PAVY;48.18501223322377; -1.4401760980352818;55;Bâtiment rénové;Socio-culturel 
3503110;35031;35340;LA BOUEXIERE;FOYER DES JEUNES;2 RUE DE BREHAT;48.18652726705004; -1.4418080937008508;50;Bâtiment < 20 ans ;Socio-culturel 
3503111;35031;35340;LA BOUEXIERE;SALLE DES 3 FRERES BOULANGER & CHAUFFAGE PRESBYTERE;4 RUE SAINT MARTIN;48.18439734876569; -1.4381303426414427;550;Bâtiment à rénover ;Socio-culturel 
3503112;35031;35340;LA BOUEXIERE;R.A.S.E.D;16 RUE DES ECOLES;48.18153257735513; -1.4358175290842263;100;Bâtiment à rénover ;Scolaire - enfance 
3503113;35031;35340;LA BOUEXIERE;CLSH GARDERIE;12 RUE DES ECOLES;48.181731905110546; -1.4357528581057912;232;Bâtiment à rénover ;Scolaire – enfance 
3503114;35031;35340;LA BOUEXIERE;SERVICE TECHNIQUE;RUE DU STADE;48.179464326030846; -1.4347726554261433;400;Bâtiment à rénover ;Technique
3503115;35031;35340;LA BOUEXIERE;LOGEMENT LABBE;;48.181968924792; -1.4374516215913433;100;Bâtiment à rénover ;Résidentiel 
3505901;35059;35520;La Chapelle-des-Fougeretz;Ateliers Municipaux;7 Rue du Matelon;48.17917374632257; -1.7341193696146346;527;Bâtiment < 20 ans ;Technique
3505902;35059;35520;La Chapelle-des-Fougeretz;Crêche Calinou;2 Pl. des Droits de l'Homme;48.17834841545114; -1.7338287801927783;268;Bâtiment à rénover ;Scolaire – enfance 
3505903;35059;35520;La Chapelle-des-Fougeretz;Ecole maternelle;2 bis rue des Carlets;48.17662294610111; -1.73094281798575;1236;Bâtiment à rénover ;Scolaire – enfance 
3505904;35059;35520;La Chapelle-des-Fougeretz;Ecole élémentaire;5 Rue de Rennes;48.176283657890274; -1.7316714863035334;1549;Bâtiment rénové;Scolaire – enfance 
3505905;35059;35520;La Chapelle-des-Fougeretz;Eglise;Rue de la Mairie;48.17776357116367; -1.7334575674192398;405;Bâtiment à rénover ;Cultuel 
3505906;35059;35520;La Chapelle-des-Fougeretz;Mairie;2 Rue de la Mairie;48.17714830446809; -1.7325375697959464;574;Bâtiment rénové;Administratif 
3505907;35059;35520;La Chapelle-des-Fougeretz;Mairie Annexe;3 Rue des Carlets;48.177231911636504; -1.7321331804926257;269;Bâtiment rénové;Administratif 
3505908;35059;35520;La Chapelle-des-Fougeretz;Maison de le Hubaudière;12 Rue de la Métairie;48.17893503235789; -1.7322668119638513;250;Bâtiment à rénover ;Socio-culturel 
3505909;35059;35520;La Chapelle-des-Fougeretz;Médiathèque;2 Rue des Carlets;48.17676468294199; -1.732393426346111;450;Bâtiment à rénover ;Socio-culturel 
3505910;35059;35520;La Chapelle-des-Fougeretz;Restaurant Scolaire;17 Rue des Carlets;48.178014233326095; -1.7310167819061406;385;Bâtiment < 20 ans ;Restauration 
3505911;35059;35520;La Chapelle-des-Fougeretz;Salle des Cerisiers;rue de Kalchreuth;48.17829251070662; -1.7345394994252974;301;Bâtiment à rénover ;Socio-culturel 
3505912;35059;35520;La Chapelle-des-Fougeretz;Salle de Sports de raquettes et combat; Rue de Rennes;48.17605599482738; -1.7302087488229396;1147;Bâtiment < 20 ans ;Sportif 
3505913;35059;35520;La Chapelle-des-Fougeretz;Salle Omnisports et Vestiaires de foot; Rue de Rennes;48.17479976216802; -1.7269084676384743;1673;Bâtiment à rénover ;Sportif 
3505914;35059;35520;La Chapelle-des-Fougeretz;Maison de l'enfance;2 rue de la Métairie;48.17847837979491; -1.7334766053692088;160;Bâtiment à rénover ;Scolaire – enfance 
3505915;35059;35520;La Chapelle-des-Fougeretz;Maison des associations;1bis rue de la Métairie;48.17907223875742; -1.733158142915092;283;Bâtiment à rénover ;Scolaire – enfance 
3505916;35059;35520;La Chapelle-des-Fougeretz;Local Jeunes;3 rue de la Métairie;48.17905434168913; -1.7328692517342579;144;Bâtiment à rénover ;Scolaire – enfance 
3513901;35139;35890;Laillé;Salle des sports, Haut Patis;12 Rue du Stade;47.982655453554;-1.7150277771343;1800;Bâtiment à rénover ;Sportif 
3513902;35139;35890;Laillé;Le  Point 21;21 Rue du Point du Jour;47.9784058;-1.7170939;1590;Bâtiment à rénover ;Socio-culturel 
3513903;35139;35890;Laillé;Groupe scolaire/ALSH;23 Rue du Parc;47.9807299;-1.7198736;3210;Bâtiment rénové;Scolaire – enfance 
3513904;35139;35890;Laillé;Crèche Halte garderie;1 Allee du Chateau Noble;47.9779754;-1.7211936;270;Bâtiment à rénover ;Scolaire – enfance 
3513905;35139;35890;Laillé;Mairie;Rue de la Halte;47.9787589;-1.7214672;400;Bâtiment à rénover ;Scolaire – enfance 
3513906;35139;35890;Laillé;Restaurant  scolaire ;3 Rue du Patis;47.9795322;-1.7157448;927;Bâtiment rénové;Restauration 
3513907;35139;35890;Laillé;Complexe l'Archipel;2 Boulevard du Commandant Cousteau;47.9825655;-1.718013;3499;Bâtiment < 20 ans ;Sportif 
3517301;35173;35520;MELESSE;Salle de sports n° 2;Champs Colliots;48.218718961981104; -1.701960774633636;1210;Bâtiment à rénover ;Sportif 
3517302;35173;35520;MELESSE;Salle de tennis;Rue des Lilas;48.220982773954184; -1.697709063570031;1649;Bâtiment à rénover ;Sportif 
3517303;35173;35520;MELESSE;Ecole maternelle;2 Pl. Jules Ferry;48.21793404779786; -1.6999573851071796;1530;Bâtiment à rénover ;Scolaire – enfance 
3517304;35173;35520;MELESSE;Ecole élémentaire;allée Jules Ferry;48.21770114596054; -1.70066155558365;1918;Bâtiment à rénover ;Scolaire – enfance 
3517305;35173;35520;MELESSE;Salle sports n° 1;Place Jules Ferry ;48.218702096755024; -1.7002785224174295;1219;Bâtiment à rénover ;Sportif 
3517306;35173;35520;MELESSE;Salle polyvalente;2 Rue d'Enguera;48.219358190637905; -1.6987602760411944;1780;Bâtiment à rénover ;Socio-culturel 
3517307;35173;35520;MELESSE;Mairie+Médiathèque;20 Rue de Rennes;48.216251345848235; -1.6975115542683066;2476;Bâtiment à rénover ;Administratif 
3517308;35173;35520;MELESSE;Restaurant scolaire;1 Pl. Jules Ferry;48.218326921660754; -1.7009957438866956;719;Bâtiment à rénover ;Restauration 
3517309;35173;35520;MELESSE;ALSH;rue de la Poste;48.21863277344147; -1.6987700213069548;678;Bâtiment < 20 ans ;Scolaire – enfance 
3517310;35173;35520;MELESSE;Bibliothèque - Salle C. Colomb;rue de la Poste;48.218277796110655; -1.6979933027928422;511;Bâtiment à rénover ;Socio-culturel 
3517311;35173;35520;MELESSE;CTM;12 Rue de la Longueraie;48.22927483613997; -1.7019839598288977;1585;Bâtiment < 20 ans ;Technique
3518001;35180;35190;MINIAC SOUS BECHEREL;Ecole & restaurant scolaire;la rue de l'Ecole;48.28401119317268; -1.9343007016420524;883;Bâtiment < 20 ans ;Scolaire – enfance 
3518002;35180;35190;MINIAC SOUS BECHEREL;Médiathèque;le Bourg;48.285094183543336; -1.9304374910805033;80;Bâtiment à rénover ;Socio-culturel 
3518003;35180;35190;MINIAC SOUS BECHEREL;Mairie;le Bourg;48.28456241561776; -1.9306703655042987;600;Bâtiment rénové;Administratif 
3518004;35180;35190;MINIAC SOUS BECHEREL;Vestiaires foot + terrain;La Croix Pinault;48.28581868358306; -1.9261915130471823;96;Bâtiment à rénover ;Sportif 
3518902;35189;35760;Montgermont;Ecole maternelle;5 Rue de Rennes;48.15593944924175; -1.7146074117596604;810;Bâtiment rénové;Scolaire – enfance 
